firm_ID,quarter,trading_date
B2RK5K,6/30/2016,5/9/2016
B2RK5K,9/30/2016,7/27/2016
B2RK5K,12/31/2016,11/2/2016
B2RK5K,3/31/2017,1/30/2017
B2RK5K,6/30/2017,5/8/2017
B2RK5K,9/30/2017,7/26/2017
B2RK5K,12/31/2017,11/2/2017
B2RK5K,3/31/2018,1/30/2018
B2RK5K,6/30/2018,5/8/2018
B1WVF6,6/30/2015,5/6/2015
B1WVF6,9/30/2015,8/7/2015
B1WVF6,12/31/2015,11/6/2015
B1WVF6,3/31/2016,3/4/2016
B1WVF6,6/30/2016,5/4/2016
B1WVF6,9/30/2016,8/5/2016
B1WVF6,9/30/2017,8/4/2017
B1WVF6,12/31/2017,11/3/2017
B1WVF6,3/31/2018,3/2/2018
B1WVF6,6/30/2018,5/3/2018
B1WVF6,9/30/2018,8/2/2018
B1WVF6,12/31/2018,11/6/2018
B1WVF6,3/31/2019,3/6/2019
B1WVF6,6/30/2019,5/2/2019
B1WVF6,9/30/2019,8/2/2019
B1WVF6,12/31/2019,11/6/2019
BLMP1D,4/30/2015,3/31/2015
BLMP1D,7/31/2015,8/31/2015
BLMP1D,1/31/2018,12/21/2017
401995,6/30/2017,5/30/2017
401995,9/30/2017,8/22/2017
401995,12/31/2017,11/29/2017
401995,6/30/2018,5/28/2018
401995,9/30/2018,8/29/2018
401995,12/31/2018,11/29/2018
401995,3/31/2019,4/29/2019
401995,6/30/2019,5/28/2019
401995,9/30/2019,8/29/2019
B0704T,9/30/2012,8/29/2012
B0704T,12/31/2013,11/27/2013
B0704T,9/30/2014,8/21/2014
B0704T,12/31/2014,11/20/2014
B0704T,3/31/2015,2/9/2015
B0704T,6/30/2015,5/21/2015
B0704T,9/30/2015,8/19/2015
B0704T,3/31/2016,2/2/2016
B0704T,9/30/2016,8/18/2016
B0704T,12/31/2016,11/16/2016
B0704T,3/31/2018,2/7/2018
757130,12/31/2014,11/19/2014
757130,3/31/2015,1/13/2015
757130,6/30/2015,5/19/2015
757130,9/30/2015,8/20/2015
757130,12/31/2015,11/26/2015
757130,3/31/2016,1/19/2016
