key,dates
27914,12/17/2017
27914,2/20/2017
27914,5/14/2017
27914,8/19/2017
27914,9/9/2017
27914,11/18/2017
27914,12/2/2017
27914,12/3/2017
27914,12/10/2017
27914,12/23/2017
27914,12/25/2017
27914,2/11/2017
27914,5/6/2017
27914,6/24/2017
27914,7/15/2017
27914,7/29/2017
27914,8/20/2017
27914,9/3/2017
27914,10/14/2017
27914,10/21/2017
27914,11/11/2017
27914,11/26/2017
27914,12/24/2017
27914,5/28/2017
27914,8/27/2017
27914,1/21/2017
27914,5/7/2017
27914,1/22/2017
27914,11/12/2017
27914,2/12/2017
27914,3/12/2017
27914,4/29/2017
27914,4/30/2017
27914,7/9/2017
27914,7/30/2017
27914,8/13/2017
27914,9/23/2017
27914,10/22/2017
27914,11/19/2017
27914,11/23/2017
27914,11/25/2017
27914,12/9/2017
27914,8/26/2017
65399,5/29/2017
65399,6/18/2017
65399,11/18/2017
65399,11/26/2017
65399,12/31/2017
65399,5/13/2017
65399,6/24/2017
65399,7/1/2017
65399,9/24/2017
65399,10/15/2017
65399,10/21/2017
65399,9/4/2017
65399,9/17/2017
65399,11/25/2017
65399,9/10/2017
65399,12/17/2017
65399,12/24/2017
65399,12/16/2017
65399,12/23/2017
65399,8/5/2017
65399,2/25/2017
65399,5/20/2017
65399,8/6/2017
65399,2/20/2017
13323,5/13/2017
13323,5/20/2017
13323,11/18/2017
13323,11/25/2017
13323,12/3/2017
13323,1/2/2017
13323,3/25/2017
13323,4/14/2017
13323,5/6/2017
13323,5/29/2017
13323,6/4/2017
13323,7/29/2017
13323,8/5/2017
13323,9/3/2017
13323,10/8/2017
13323,10/14/2017
13323,11/11/2017
13323,12/30/2017
13323,4/30/2017
13323,3/19/2017
13323,6/10/2017
13323,7/23/2017
13323,8/12/2017
13323,11/23/2017
13323,11/26/2017
13323,12/2/2017
13323,12/9/2017
13323,12/24/2017
13323,8/27/2017
13323,6/25/2017
13323,11/4/2017
27802,10/14/2017
27802,9/30/2017
27802,10/28/2017
27802,5/6/2017
27802,11/19/2017
27802,11/12/2017
27802,9/3/2017
27802,2/25/2017
27802,5/7/2017
21626,9/3/2017
21626,11/23/2017
21626,11/12/2017
21626,5/6/2017
21626,5/13/2017
21626,6/3/2017
8479,5/29/2017
8479,1/15/2017
8479,1/16/2017
8479,1/21/2017
8479,1/22/2017
8479,1/28/2017
8479,1/29/2017
8479,2/19/2017
8479,2/26/2017
8479,3/4/2017
8479,4/9/2017
8479,4/14/2017
8479,4/29/2017
8479,5/6/2017
8479,5/28/2017
8479,6/11/2017
8479,7/8/2017
8479,9/2/2017
8479,11/12/2017
8479,11/18/2017
8479,12/3/2017
8479,12/9/2017
8479,12/17/2017
8479,1/2/2017
8479,1/8/2017
8479,2/5/2017
8479,2/20/2017
8479,3/19/2017
8479,3/26/2017
8479,4/23/2017
8479,5/20/2017
8479,7/9/2017
8479,7/15/2017
8479,9/9/2017
8479,10/8/2017
8479,10/14/2017
8479,10/21/2017
8479,11/4/2017
8479,11/23/2017
8479,11/25/2017
8479,12/10/2017
8479,12/16/2017
8479,12/23/2017
8479,12/24/2017
8479,6/4/2017
8479,1/1/2017
8479,9/30/2017
8479,2/18/2017
8479,12/25/2017
8479,1/7/2017
8479,1/14/2017
8479,2/4/2017
8479,2/11/2017
8479,5/13/2017
8479,5/21/2017
8479,5/27/2017
8479,6/3/2017
8479,6/24/2017
8479,6/25/2017
8479,7/4/2017
8479,7/22/2017
8479,7/23/2017
8479,7/29/2017
8479,7/30/2017
8479,8/12/2017
8479,8/13/2017
8479,8/19/2017
8479,8/20/2017
8479,8/27/2017
8479,9/23/2017
8479,10/15/2017
8479,11/11/2017
8479,9/3/2017
8479,3/18/2017
8479,10/28/2017
8479,4/22/2017
64768,6/17/2017
64768,6/18/2017
64768,6/24/2017
64768,6/25/2017
64768,7/2/2017
64768,7/4/2017
64768,7/22/2017
64768,7/29/2017
64768,8/5/2017
64768,8/26/2017
64768,9/23/2017
64768,10/21/2017
64768,10/22/2017
64768,12/16/2017
64768,12/23/2017
64768,4/1/2017
64768,6/4/2017
64768,7/1/2017
64768,7/16/2017
64768,12/17/2017
64768,1/14/2017
64768,2/5/2017
64768,2/18/2017
64768,3/25/2017
64768,4/23/2017
64768,5/21/2017
64768,6/11/2017
64768,7/8/2017
64768,7/9/2017
64768,8/12/2017
64768,8/27/2017
64768,9/24/2017
64768,10/28/2017
64768,11/12/2017
64768,12/25/2017
64768,12/31/2017
64768,4/2/2017
64768,4/30/2017
64768,1/2/2017
64768,1/8/2017
64768,2/4/2017
64768,2/20/2017
64768,2/26/2017
64768,3/11/2017
64768,3/12/2017
64768,3/26/2017
64768,4/14/2017
64768,4/15/2017
64768,5/7/2017
64768,5/13/2017
64768,5/14/2017
64768,5/29/2017
64768,7/30/2017
64768,8/6/2017
64768,10/14/2017
64768,10/29/2017
64768,11/4/2017
64768,11/11/2017
64768,11/18/2017
64768,12/2/2017
64768,12/3/2017
64768,12/9/2017
64768,12/24/2017
64768,12/30/2017
64768,7/23/2017
64768,3/19/2017
64768,5/6/2017
64768,5/27/2017
64768,5/28/2017
64768,8/20/2017
64768,11/5/2017
64768,11/23/2017
64768,11/26/2017
64768,2/19/2017
64768,1/15/2017
64768,1/29/2017
64768,11/25/2017
64768,1/1/2017
64768,1/16/2017
64768,1/21/2017
64768,1/28/2017
64768,3/18/2017
64768,4/22/2017
64768,7/15/2017
64768,8/13/2017
64768,8/19/2017
64768,9/9/2017
64768,9/10/2017
64768,9/30/2017
64768,10/15/2017
64768,11/19/2017
64768,12/10/2017
64768,3/5/2017
64768,4/8/2017
64768,1/7/2017
64768,6/3/2017
64768,9/17/2017
64768,4/16/2017
64768,10/7/2017
64768,10/8/2017
64768,2/12/2017
64768,9/3/2017
25737,4/22/2017
25737,5/7/2017
25737,5/20/2017
25737,11/5/2017
25737,2/20/2017
25737,3/25/2017
25737,5/6/2017
25737,7/15/2017
25737,12/9/2017
25737,6/17/2017
25737,5/14/2017
25737,6/3/2017
25737,6/10/2017
25737,6/18/2017
25737,6/25/2017
25737,7/2/2017
25737,7/29/2017
25737,9/16/2017
25737,12/10/2017
25737,11/18/2017
25737,11/25/2017
25737,4/14/2017
25737,11/23/2017
25737,11/11/2017
25737,12/2/2017
25737,7/30/2017
25737,8/12/2017
174222,11/4/2017
174222,2/26/2017
174222,4/14/2017
174222,5/7/2017
174222,5/21/2017
174222,5/28/2017
174222,6/18/2017
174222,6/25/2017
174222,7/1/2017
174222,11/19/2017
174222,12/16/2017
174222,1/14/2017
174222,4/22/2017
174222,6/10/2017
174222,7/23/2017
174222,7/29/2017
174222,11/12/2017
174222,12/30/2017
174222,11/11/2017
174222,2/11/2017
174222,7/30/2017
174222,10/21/2017
174222,3/4/2017
174222,5/20/2017
174222,5/29/2017
174222,7/9/2017
174222,8/19/2017
174222,8/20/2017
174222,10/7/2017
174222,10/8/2017
174222,3/11/2017
174222,9/10/2017
174222,6/24/2017
147988,1/28/2017
147988,4/29/2017
147988,12/9/2017
147988,12/23/2017
147988,1/2/2017
147988,4/8/2017
147988,5/14/2017
147988,9/23/2017
147988,11/4/2017
147988,11/25/2017
147988,11/26/2017
147988,12/2/2017
147988,12/3/2017
147988,5/29/2017
147988,5/13/2017
147988,1/16/2017
147988,2/26/2017
147988,5/20/2017
147988,8/19/2017
147988,9/24/2017
147988,10/1/2017
147988,10/8/2017
147988,11/18/2017
147988,12/25/2017
147988,12/30/2017
147988,4/22/2017
147988,12/10/2017
147988,12/16/2017
147988,8/13/2017
147988,6/18/2017
26509,11/4/2017
26509,11/18/2017
26509,11/11/2017
26509,5/6/2017
26509,4/14/2017
26509,5/27/2017
7435,1/1/2017
7435,1/15/2017
7435,1/21/2017
7435,2/19/2017
7435,2/25/2017
7435,3/4/2017
7435,4/1/2017
7435,6/3/2017
7435,7/1/2017
7435,7/4/2017
7435,7/16/2017
7435,7/29/2017
7435,11/12/2017
7435,11/23/2017
7435,1/22/2017
7435,3/12/2017
7435,4/14/2017
7435,5/27/2017
7435,7/30/2017
7435,8/20/2017
7435,9/16/2017
7435,10/7/2017
7435,10/14/2017
7435,10/28/2017
7435,10/29/2017
7435,11/11/2017
7435,11/18/2017
7435,12/31/2017
7435,4/8/2017
7435,4/16/2017
7435,4/23/2017
7435,7/23/2017
7435,12/24/2017
7435,2/5/2017
7435,1/7/2017
7435,1/8/2017
7435,1/28/2017
7435,1/29/2017
7435,2/4/2017
7435,2/18/2017
7435,4/9/2017
7435,4/22/2017
7435,4/30/2017
7435,5/6/2017
7435,5/14/2017
7435,5/20/2017
7435,5/28/2017
7435,6/10/2017
7435,7/2/2017
7435,7/22/2017
7435,8/12/2017
7435,8/13/2017
7435,8/19/2017
7435,8/27/2017
7435,9/10/2017
7435,9/17/2017
7435,9/30/2017
7435,10/1/2017
7435,11/26/2017
7435,2/20/2017
7435,4/2/2017
7435,10/22/2017
24616,2/19/2017
24616,1/28/2017
24616,2/11/2017
24616,2/18/2017
24616,3/4/2017
24616,3/12/2017
24616,4/23/2017
24616,5/13/2017
24616,5/28/2017
24616,8/13/2017
24616,10/21/2017
24616,11/19/2017
24616,11/26/2017
24616,12/9/2017
24616,12/25/2017
24616,12/30/2017
24616,11/18/2017
24616,1/16/2017
24616,3/11/2017
24616,4/14/2017
24616,4/29/2017
24616,6/4/2017
24616,6/11/2017
24616,6/25/2017
24616,7/4/2017
24616,7/29/2017
24616,7/30/2017
24616,10/15/2017
24616,10/22/2017
24616,10/28/2017
24616,11/11/2017
24616,12/3/2017
24616,12/10/2017
24616,12/16/2017
24616,12/17/2017
24616,12/23/2017
24616,12/24/2017
24616,12/31/2017
24616,1/29/2017
24616,12/2/2017
24616,2/5/2017
24616,4/22/2017
24616,5/7/2017
24616,10/14/2017
24616,1/2/2017
24616,2/12/2017
24616,7/15/2017
24616,7/2/2017
24616,1/7/2017
24616,2/25/2017
24616,2/26/2017
24616,4/2/2017
24616,4/8/2017
24616,4/30/2017
24616,5/6/2017
24616,7/8/2017
24616,7/16/2017
24616,7/23/2017
24616,8/12/2017
24616,8/19/2017
24616,8/20/2017
24616,8/26/2017
24616,9/3/2017
24616,9/4/2017
24616,9/10/2017
24616,9/17/2017
24616,9/23/2017
24616,9/30/2017
24616,10/1/2017
24616,10/7/2017
24616,11/12/2017
24616,11/23/2017
24616,11/25/2017
24616,8/5/2017
24616,7/1/2017
24616,5/20/2017
24616,5/21/2017
181104,1/2/2017
181104,6/25/2017
181104,10/28/2017
181104,8/5/2017
181104,1/1/2017
181104,2/20/2017
181104,6/10/2017
181104,9/30/2017
181104,11/19/2017
181104,11/23/2017
181104,7/16/2017
181104,12/17/2017
181104,1/22/2017
181104,4/23/2017
181104,6/11/2017
181104,7/9/2017
181104,8/13/2017
181104,9/16/2017
181104,9/2/2017
21761,2/20/2017
21761,4/16/2017
21761,5/28/2017
21761,6/3/2017
21761,7/15/2017
21761,7/22/2017
21761,9/17/2017
